state,constituency,image,result,votes,margin,name,party
Andhra Pradesh,Rajahmundry,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/MEDAS-2024-7193.jpg,lost,2429,-724086,MEDA SRINIVASA RAO,Rashtriya Praja Congress  (Secular)
Andhra Pradesh,Rajahmundry,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/SINGU-2024-20240429104358.jpg,lost,2833,-723682,MOHANARAO SINGULURI,Jai Bharat National Party
Andhra Pradesh,Rajahmundry,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/DRME-2024-20240429112128.jpg,lost,3115,-723400,DR. MEDISI RATNARAO ALIAS VINAY,Independent
Andhra Pradesh,Rajahmundry,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/SALOP-2024-20240429112309.jpg,lost,3278,-723237,SALOPANTULA RAGHAVENDRA RAO,Independent
Andhra Pradesh,Rajahmundry,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/BALAR-2024-7194.jpg,lost,17008,-709507,BATTULA BALARAMAKRISHNA,Navarang Congress Party
Andhra Pradesh,Ongole,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/DEVIR-2024-20240501114949.jpg,lost,716,-701178,DEVIREDDY BALANJANEYULU,Independent
Andhra Pradesh,Rajahmundry,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/GANES-2024-7468.jpg,lost,20409,-706106,GANESWARA RAO PARAMATA,Bahujan Samaj Party
Andhra Pradesh,Rajahmundry,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/SRINI-2024-7188.jpg,lost,487376,-239139,DR. GUDURI SRINIVAS,Yuvajana Sramika Rythu Congress Party
Andhra Pradesh,Rajahmundry,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/DAGGU-2024-6365.jpg,won,726515,+ 239139,DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party
Andhra Pradesh,Ongole,img/nota.jpg,,13205,-688689,NOTA,None of the Above
Andhra Pradesh,Ongole,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/KOTAV-2024-20240426022207.jpg,lost,365,-701529,KOTA VAMSI KRISHNA,Independent
Andhra Pradesh,Ongole,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/KPAVA-2024-20240501114825.jpg,lost,392,-701502,K PAVAN KALYAN,Jatiya Jana Sena Party
Andhra Pradesh,Ongole,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/YARRA-2024-20240502065254.jpg,lost,394,-701500,YARRA DASARADHARAMAIAH,Independent
Andhra Pradesh,Ongole,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/SINGA-2024-20240502064627.jpg,lost,410,-701484,SINGAMNENI SREEKANTH,Independent
Andhra Pradesh,Ongole,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/GUDDA-2024-20240426021927.jpg,lost,449,-701445,SESHUBABU GUDDANTI,Independent
Andhra Pradesh,Nellore,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/PRABH-2024-6930.jpg,won,766202,+ 245902,PRABHAKAR REDDY VEMIREDDY,Telugu Desam
Andhra Pradesh,Ongole,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/VESHA-2024-20240426021725.jpg,lost,461,-701433,VESHAPOGU GURAVABABU,Independent
Andhra Pradesh,Ongole,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/AKUMA-2024-20240501114908.jpg,lost,575,-701319,AKUMALLA MALLIKARJUNA REDDY,Independent
Andhra Pradesh,Ongole,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/SURYA-2024-7006.jpg,lost,683,-701211,SURYA TEJA KOTA,Pyramid Party of India
Andhra Pradesh,Rajahmundry,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/VEERA-2024-7190.jpg,lost,32508,-694007,GIDUGU RUDRARAJU,Indian National Congress
Andhra Pradesh,Narsaraopet,img/nota.jpg,,11199,-796797,NOTA,None of the Above
Andhra Pradesh,Narsaraopet,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/KOTAP-2024-20240429074935.jpg,lost,670,-807326,KOTA POTHURAJU,Pyramid Party of India
Andhra Pradesh,Narsaraopet,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/GODAR-2024-20240429074808.jpg,lost,309,-807687,DOCTOR GODA RAMESH KUMAR,Jatiya Jana Sena Party
Andhra Pradesh,Narsapuram,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/SIRRA-2024-8456.jpg,lost,6014,-701329,SIRRA RAJU,Bahujan Samaj Party
Andhra Pradesh,Narsapuram,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/UNDUR-2024-6051.jpg,lost,6364,-700979,PRASANNA KUMAR UNDURTHI,Independent
Andhra Pradesh,Narsapuram,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/BRAHM-2024-8318.jpg,lost,35213,-672130,K.B.R.NAIDU,Indian National Congress
Andhra Pradesh,Narsapuram,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/UMABA-2024-20240419033825.jpg,lost,430541,-276802,UMABALA GUDURI,Yuvajana Sramika Rythu Congress Party
Andhra Pradesh,Narsapuram,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/BHUPA-2024-20240423044120.jpg,won,707343,+ 276802,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Bharatiya Janata Party
Andhra Pradesh,Nandyal,img/nota.jpg,,10697,-690434,NOTA,None of the Above
Andhra Pradesh,Nandyal,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/BALIJ-2024-6987.jpg,lost,288,-700843,BALIJA SHIVA KUMAR,Independent
Andhra Pradesh,Nandyal,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/BSREE-2024-7723.jpg,lost,353,-700778,BELLAMKONDA SREENIVASULU,Independent
Andhra Pradesh,Nandyal,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/UMMAD-2024-8829.jpg,lost,376,-700755,U P MUNI REDDY,Independent
Andhra Pradesh,Nandyal,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/GOGUL-2024-8876.jpg,lost,379,-700752,GOGULA SUGUNAMMA,Jai Maha Bharath Party
Andhra Pradesh,Nandyal,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/BUSHA-2024-8774.jpg,lost,390,-700741,BUSHAKU MAHESWARA REDDY,Independent
Andhra Pradesh,Nandyal,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/VEDDE-2024-7691.jpg,lost,401,-700730,V MADHUSUDHANA REDDY,Independent
Andhra Pradesh,Narsapuram,https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/MEDAP-2024-20240423032951.jpg,lost,5969,-701374,MEDAPATI VENKATA VARAHALA REDDY,Independent
